id,created,updated,title,content,tags,product,topic,locale
1268070,1567634547,1567641227,I don't have the option to Always activate in flash player,"<p>I can not set Flash player to Always Activate...that option is not available in the add-ons manager...I have version 32-0-0-238, with 32 bit windows 8....also the battery just gives me the Allow option I can not set it to remember that decision
</p>",firefox-320;desktop;fix-problems;windows-8;,firefox,fix-problems,en-US
1268069,1567633569,1567637709,"How do I fix ""Secure Connection Failed""?","<p>Error code: PR_END_OF_FILE_ERROR
I see this error with every website I try. I first noticed the problem after I installed ZoneAlarm, I've since uninstalled the program and tried many solutions, but nothing is working. None of my other web browsers ate connecting either.
</p>",desktop;fix-problems;,firefox,fix-problems,en-US
1268068,1567631650,1567674530,"Firefox Updated yesterday, again my logins and passwords are not there, how do I fix this?  I","<p>I also tried using Sync and still no logins &amp; passwords.  This has happened numerous times, last time it was AVG.  I'm now using Dashlane and Chrome for any website that requires a login but this is getting tiring.
</p>",firefox-690;other;desktop;windows-10;escalate;dataloss;,firefox,other,en-US
1268065,1567626265,1567649840,I have found a malware/adware addon. How to submit it to mozilla?,"<p>the addon is named as Security Update Tool. Its not visible in the Addons tab but visible in the debugging tab. I successfully removed the addon and its evil effects. But want to aware the community.
Thank You
</p>",firefox-690;other;desktop;windows-10;,firefox,other,en-US
1268063,1567624357,1567629530,"I lost my phone and I couldn't use my authenticator app, I can't use my account. What will I do?","<p>I lost my phone and I couldn't use my authenticator app, I can't use my account (when I want to sign in, it says to  me to use authenticator app . But I lost my phone. I can steel access my mail.  What will I do?
</p>",firefox-690;sync;desktop;windows-10;,firefox,sync,en-US
1268061,1567622581,1567648578,Los archivos xml con transformación a xslt ya no pueden ser visualizados en firefox,"<p>Anteriormente he estado utilizando firefox para visualizar archivos xml con transformacón xslt, hasta la versión 67.04 es posible visualizar las transformaciones, con las recientes actualizaciones de firefox, ya no es posible.
</p>",firefox-690;desktop;fix-problems;mac-os;needsinfo;,firefox,fix-problems,es
1268060,1567621744,1567623743,how to maximize streaming resolution in Firefox,"<p>looking for a way to  get maximum streaming resolution in Firefox.  I have updated my pc and monitor to handle Ultra HD resolutions, but cannot find what resolutions are supported by Firefox 68 (under Win 7, 64-bit) or how to change.  I have read that Firefox is limited to 720P, and do not know if this is still so.  Where do I find the current resolution and can it be changed, or do I need a specific add-on?  Thanks for any information you can share!
</p>",firefox-680;customize;desktop;windows-7;,firefox,customize,en-US
1268059,1567621372,1567625185,How do I stop Bing from doing a search that I asked Google (which is set as my default) to do?,"<p>Firefox is my default browser and Google the default search engine.  This has worked fine for years.  Suddenly, a search typed into Google results in a Bing result.  I made sure that Bing is not checked as even an alternate search engine but that does not help.
</p>",firefox-690;other;desktop;windows-10;,firefox,other,en-US
1268058,1567618995,1567619758,"After tabs gone, how to restore session in Firefox on Lubuntu 16.04?","<p>I'm on Lubuntu 16.04. Opened Firefox. Blank window, all my 10+ windows and many tabs were gone. I only have one firefox profile. I start looking up info, I find my profile directory and copy my sessionstore-backups directory. Use some nice dude's tool at <a href=""https://www.jeffersonscher.com/ffu/scrounger.html"" rel=""nofollow"">https://www.jeffersonscher.com/ffu/scrounger.html</a> to verify the old previous.jsonlz4 has my windows and tabs, and it does.
</p><p>However, there is NO sessionstore.jsonlz4 in my main profile folder, only a bunch of files, which include sessionCheckpoints.json, the only file with any ""session"" in the filename. If I copy my previous.jsonlz4 to that directory (yes, using sudo) as sessionstore.jsonlz4 and run Firefox, it's blank as before, with none of the old tabs or windows. My suspicion at this point is that Firefox 68 on Ubuntu is doing something different than Windows, but I really have no idea. How do the sessions work on Ubuntu, what is the sessionstore.jsonlz4 equivalent?
</p>",tabs;firefox-680;desktop;linux;,firefox,tabs,en-US
1268057,1567617743,1567634094,Firefox doesn't autofeed the password,"<p>Six month ago my bank went from a one page to a two page login.  The help you gave me six months ago solved the problem.  Now the bank has changed back again to a one page login.  Two days ago the response you gave me I marked as Solved when I deleted the saved ID and password and Firefox loaded the new ID and Password.  I thought that would fix the problem. That was premature.  I should have tried logging in to my bank, because it still isn't loading the password.  The password field is set to Fill Password.
</p><p>P.S.  And I don't need another responses from some sarcastic SOB who cant read or think clearly and who sends me a NO-Reply Email that I can't respond to.
</p>",firefox-680;desktop;privacy-and-security_1;windows-10;,firefox,privacy-and-security,en-US
1268056,1567617431,1567620504,blank bar above firefox,"<p>I am using the newest version of firefox, I have no idea on what key I accidentally pressed. My address bar is now very fat, and there's a blank space above the tabs, and that bar is not the title bar. I have tried installing themes but that didn't do the trick.
I am using windows 7.
</p><p>How do I restore firefox to its default view?
</p>",firefox-690;other;desktop;windows-7;,firefox,other,en-US
1268055,1567617401,1567618608,Menu bar and bookmarks toolbar keep disappearing when FF is reopened (visibility settings not getting saved),"<p>The latest Firefox update hide my bookmark toolbar and the menu bar. When I re-enable them, the setting is apparently not getting saved because they're hidden again the next time I launch the browser.
</p><p>Windows 10 Pro
Firefox 69.0
</p>",firefox-690;bookmarks;desktop;windows-10;,firefox,bookmarks,en-US
1268054,1567617107,1567626071,Menu are in wrong language,"<p>I just updated FF from 68 to 69 and now my menus are messed up. While preferences all set to English, top menu and context menu are all in Russian, addons too. Options are only thing that's in English as far as I can see. And it's not deletable from settings too (screenshot). Any way to fix it without reinstalling whole thing? (which is i'm not 100% will help but it's still last resort)
</p>",firefox-690;customize;desktop;windows-10;,firefox,customize,en-US
1268053,1567614640,1567617827,it is asking for parent's permission when i am an adult myself,"<p>I am the age of being an adult, but when I try to install Firefox (after making an account, both for Firefox and now a Microsoft account separate from my parents, to make sure), it says I need parent's/adult's permission to use it. Am I doing something wrong?
</p>",download-and-install_1;desktop;,firefox,download-and-install,en-US
1268052,1567614228,1567634988,Hovering a tab over Bookmarks button no longer opens the dropdown?,"<p>My browser updated to v69.0 this morning, and now I find myself unable to use functionality that I utilize quite often. If I have a tab open I want to save to my Bookmarks, so I drag it over and hover it above the Bookmarks button in my toolbar, the Bookmarks dropdown opens up, and I can navigate my myriad of folders and sub-folders to place the tab in the folder I want to save it in. Now, however, hovering the tab over the Bookmarks button is no longer causing the dropdown to open.
</p><p>This becomes especially egregious if I want to save multiple tabs to the same folder simultaneously. I can drop them into the Bookmarks as a group, but then I must manually move each one to the correct subfolder and place it where I want them. It quickly becomes a tedious process.
</p>",firefox-690;tabs;desktop;windows-10;,firefox,tabs,en-US
1268048,1567611544,1567625586,Where is the bookmark import file after refresh?,"<p>I refreshed my Firefox but the bookmark file the Help Document said would be in the Old Firefox data folder is not there. As you can see in the image I do not have a file called ""places.sqlite"". I only refreshed Firefox under the indication that I would not lose any of my bookmarks (they would be saved and I could get them back).
</p><p>I had many bookmarks. Are they lost now?
</p><p>Help Document: <a href=""https://support.mozilla.org/en-US/kb/recovering-important-data-from-an-old-profile#w_copying-files-between-profile-folders"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/recovering-important-data-from-an-old-profile#w_copying-files-between-profile-folders</a>
</p>",firefox-680;firefox-6802;desktop;fix-problems;windows-7;escalate;dataloss;refresh;,firefox,fix-problems,en-US
1268046,1567611256,1567689875,How can I turn off *distracting* display of trackers blocked in bottom right of web pages for Firefox 69?,"<p>How to turn off *distracting* display of trackers blocked in bottom right of web pages for Firefox 69?
</p><p>I appreciate that Firefox is now blocking third party trackers.
But I can't stand having a distracting purple display of trackers blocked in every web page.
That is unacceptable to me and I want a way to turn off that distracting display on *every* web page.
</p><p>I find it ironic that distracting ads are being removed (good!) but Firefox developers thought it was a smart idea to *add* its own distracting information on web pages (sheesh -- at least could we have the option to put that tracker summary in the menu bar? -- I would ideally prefer being able to abolish it from even being seen there).
</p><p>I am a software developer who doesn't care for web page pollution or distraction from the real content, and a tracker blocking summary in my face on every page is definitely pollution.
</p><p>I'm going back to Chrome because of this one issue (the ad blocker I use only puts its summary count in the menu bar).
</p><p>Firefox really goofed by adding its own ""ad"" on *every* web page for its new feature. Now I need a blocker for those ads!
</p>",firefox-690;customize;desktop;windows-7;,firefox,customize,en-US
1268045,1567610724,1567630817,Every time I update Firefox the language changes to English and I have to manualy add and change it back to Polish; why added languages do not stay (only Eng)?,"<p>In the Options &gt; Language it is always only English after every update of Firefox. I then add Polish, every time, but it doesn't stay there. Another update and all of it repeats. Any suggestions?
</p>",firefox-690;other;desktop;windows-10;,firefox,other,en-US
1268043,1567607662,1567630269,"After update, can I turn off notification that an update has occurred?","<p>I use Firefox on nearly 70 different machines in full screen to display information around my business. I want Firefox to update automatically so I'm always on the latest release. However, after the update, I do NOT want an additional tab alerting that the browser has updated nor the pop-up in the upper left asking me to click through to see what's new in the latest version that's been installed, as they grab focus from the informational webpage I'm trying to display.
</p><p>Is it possible to allow automatic updates but receive no indication in the browser that the update has occurred. A ""silent"" update, if you will?
</p>",download-and-install_1;desktop;windows-10;,firefox,download-and-install,en-US
1268042,1567605248,1567631668,Freeze  and shutdown FF in random period,"<p>NVIDIA GeForce GTX 1050 Ti
</p><p><br>
Errors log
</p><p>	Killing GPU process due to IPC reply timeout
(#16) 	CP+[GFX1-]: Receive IPC close with reason=AbnormalShutdown
(#17) 	CP+[GFX1-]: Receive IPC close with reason=AbnormalShutdown
(#18) 	CP+[GFX1-]: Receive IPC close with reason=AbnormalShutdown
(#19) 	CP+[GFX1-]: Receive IPC close with reason=AbnormalShutdown
(#20) 	CP+[GFX1-]: Receive IPC close with reason=AbnormalShutdown
(#21) 	CP+[GFX1-]: Receive IPC close with reason=AbnormalShutdown
(#22) 	CP+[GFX1-]: (gfxWindowsPlatform) Detected device reset: 3
(#23) 	CP+[GFX1-]: (gfxWindowsPlatform) scheduled device update.
(#24) 	CP+[GFX1-]: (gfxWindowsPlatform) Detected device reset: 3
(#25) 	CP+[GFX1-]: (gfxWindowsPlatform) scheduled device update.
(#26) 	CP+[GFX1-]: ClientLayerManager::BeginTransaction with IPC channel down. GPU process may have died.
</p>",firefox-680;firefox-6802;desktop;fix-problems;windows-7;,firefox,fix-problems,en-US
1268037,1567600205,1567644101,My bank changed from a two page login to a one page.  Not filling password.,"<p>No I said the bank used, passed tenth, a two page login then they changed to a one page login.  (you stupidly misread my problem on the first go around)
</p><p>I checked the fields.  Both have the Fill field indicated. 
</p><p>The saved login information is all there and correct.  However the password field is not being filled.
</p>",firefox-680;desktop;privacy-and-security_1;windows-10;,firefox,privacy-and-security,en-US
