id,created,updated,title,content,tags,product,topic,locale
1261188,1559864511,1559864992,how do I get the Bookmark side bar from my page?,"<p>I do not want the Bookmark side bar on my page.  I want it on my toolbar only.
</p>",firefox-670;customize;desktop;windows-8;,firefox,customize,en-US
1261187,1559864891,1559880526,Stoped recieving emails from my website & outgoing messages are written in large script.,"<p>A few months back I stopped receiving emails from my website. 
I checked with my web designer and he says it's sending correctly. 
I checked my ""Blocked Emails"" and it's not there. 
I entered the address to my ""Accept Emails"". 
Still, when we send emails from the ""Contact Page"" of my website and it shows that it is sent out correctly to my email address, which is a "".com"" address, doesn't come to my Inbox nor my Junk/Spam box. 
</p><p>Also, for some strange reason, my ""Outgoing"" emails that i type to others, is in large script font. I have no idea what is happening with that. I have triple checked my settings. 
</p><p>I want to know why i can't get a customer rep from Firefox to respond to me. I have been complaining and scoring low satisfaction etc... to try to get a response, but ZERO. 
</p><p>Please help, i can't run my business like this. I'm frustrated!
</p>",firefox-670;other;desktop;windows-10;email;,firefox,other,en-US
1261186,1559864201,1559867727,"Where did my history go?  You all should have NOTIFIED us that we would need to prepare for your drastic change, it is difficult not having prior notice.","<p>This was so unfair to make these drastic changes without prior notice.  My entire history is gone and I lost a day with clients trying to retrieve my Bookmarks.  This will cause many people to not want to donate to you all ever if we are going to be treated like this.  My allegiance was full on, without question for Mozilla Firefox, but after this stunt, I can no longer pitch Mozilla Firefox the best above the rest.  NOTHING IS THE SAME.  And Why do I have to SIGN IN EACH AND EVERY TIME?  No longer user friendly.
</p>",firefox-670;bookmarks;desktop;mac-os;,firefox,bookmarks,en-US
1261185,1559864000,1559870061,Keep getting messages to upgrade Firefox but it IS updated.,"<p>~ Hi, 
I keep getting messages to update Firefox before June 30 - but it IS up to date.  I removed app and reinstalled, but am still getting the message.  I contacted one of the websites associated with the message and they said they cannot see that I'm connected to them.  But when I use Safari, they can see that I'm connected.  
These are the two I remember giving the message.  
- Ebay
- Snapfish 
Please advise how to solve the problem.
</p>",other;desktop;,firefox,other,en-US
1261184,1559863518,1559863518,Blank white window,"<p>So I recently updated my Firefox on multiple devices (Windows, Linux, Mac).  Recently with the update to 67, periodically when I launch the browser it will just show a blank white page and the address bar just says ""search with Google or enter address.""  I can hit the home button and it takes me to my home page.  Other times when I launch Firefox it works without issue and takes me directly to my home page.  I have browser.startup.blankWindow set to ""false"" in ""about:config,""  but issue still randomly occurs.  Again, this is multiple computers and multiple OSes all encountering this issue.  Yes, some have some add-ons/extensions, but others do not and there doesn't seem to be any pattern that I can discern.  Anyone else encountering this? Any fix short of uninstalling/reinstalling Firefox.  Worked just fine up through 66 (would prefer not to revert back).
-Thanks
</p>",firefox-670;other;desktop;mac-os;,firefox,other,en-US
1261183,1559862421,1559862889,Somebody stole all of my icons on my home page.,"<p>After years and years of trial and error I finally, (I said finally) got my home page like I want it; with 3 top rows of icons of allllll of the places I regularly visit. Icons may be a incorrect term. It's a little square picture with a <em>f</em> on it and when I wanna go to Facebook I just click on that little square <em>f</em> and go straight to Facebook. Ain't that neat. Well, this morning when I logged in, two of the rows were gone the row that's remaining the squares keep moving around. Anyway, I want my 3 rows back and locked in place like it was yesterday. Probably never happen, huh?
</p>",firefox-670;firefox-6701;customize;desktop;windows-10;,firefox,customize,en-US
1261182,1559861612,1559879620,Why doesn't printing use the default printer?,"<p>This bug has been here for ages and having to do periodic resets using about:config every time it goes pair shaped is a bloody annoying time waster. Could someone spend 5 minutes to fix it so it works like every other windows program in the universe that accesses a printer???
</p>",firefox-670;customize;desktop;windows-10;,firefox,customize,en-US
1261180,1559859097,1559860001,Leave tabs in place,"<p>I have Win 10 and Firefox67.0.1.  I understand that Firefox has done away with tabbed browsing because some users kept so many tabs open that their memory usage became excessive.  I wanted to be able to keep a few tabs open while browsing (email, weather and a few other sites).  I tried using the Pin Tab feature but found it would not work for my email or NOAA, though it did work for one Firefox help site. I also tried changing the browser tab item in about:config. (See uploaded image).
I am in the process of slowly migrating to a more user friendly browser (Vivaldi), but before I change default browsers I thought I'd try one more time and ask if there is any way to restore the ability to keep a few tabs open in Firefox while browsing.  Thanks for any help.
</p>",firefox-670;tabs;desktop;windows-10;,firefox,tabs,en-US
1261179,1559859091,1559859924,"Firefox: Saving source URL in downloaded files, images?","<p>hi
FF should automatically save the original source www-URL into all files property.
Would'nt this be nice? :)
Where could i post my suggestion to developers?
thx
</p>",download-and-install_1;firefox-670;desktop;windows-10;,firefox,download-and-install,en-US
1261178,1559858472,1559858472,Firefox starts downloading before clicking OK?,"<p>hi
FF 67, Windows 10
It seems FF starts downloading files BEFORE clicking OK.
Sometimes i mean i can only click download AFTER the whole file already has been downloaded...
Why is that so?
How cann i stop this ""preloading""?
thx
</p>",download-and-install_1;firefox-670;desktop;windows-10;,firefox,download-and-install,en-US
