id,created,updated,title,content,tags,product,topic,locale
1264532,1562974035,1563324002,Menu posicion incorrecta,"<p>De repente me ocurre que el menú aparece en una posición incorrecta, como se ve la imagen, la única forma de que vuelva a la posición correcta es reiniciar firefox ¿como soluciono el problema para que no ocurra mas?, esto me ha ocurrido con muchas versiones de firefox anteriores ahora tengo firefox 67.0
</p>",firefox-670;desktop;fix-problems;,firefox,fix-problems,es
1264530,1562973361,1562976380,Firefox no longer supports -p option for starting profiles,"<p>I have been using the -p option to create and start Firefox profiles for years.
This used to allow me to run multiple Firefox windows with different profiles using bash scripts that were all symlinks to the same file. Today I find that if I want to use multiple profiles simultaneously, I have to
1. Use about:profiles to get the profile manager
2. Find the profile I need
3. Click a button to start a new window with the profile I need.
Compared to running a bash script, this takes a lot more time. I don't see a good reason for trading the command line option for this new system.
After reading the documented command line options at
<a href=""https://developer.mozilla.org/en-US/docs/Mozilla/Command_Line_Options"" rel=""nofollow"">https://developer.mozilla.org/en-US/docs/Mozilla/Command_Line_Options</a>
it appears that I'm supposed to use ""-new-instance"". However, I never had to do that before the most recent update. After some experimentation, It appears that ""-new-instance"" is ignored. After looking around, it appears that the latest Firefox update broke ""-p"" on macOS. A workaround is to use ""-no-remote -P"", but I'm left wondering why the need to break something that has worked for many years.
</p>",firefox-680;other;desktop;mac-os;,firefox,other,en-US
1264529,1562971130,1563107070,How can I get something other than a white background on my home page. The theme extensions ONLY change the menu bar. I want to add a pic or extension of my own,"<p>Other browsers have extensions to add themes for the entire home page, not just the menu bar.
</p>",firefox-680;other;desktop;windows-10;,firefox,other,en-US
1264528,1562971064,1563001846,"Everytime I type a character, Firefox displays it double (Ex. I press ""h""; get ""hh"")","<p>Not much to it.  I keep getting double characters every time I type letters.  For instance, I want to get to Google.  I type, ""<a href=""http://www.google.com"" rel=""nofollow"">www.google.com</a>"".  What I get is ""wwwwww.ggooooggllee.ccoomm"".  The only work around I have found is to literally delete the extra character as I am typing; a laborious process tp say the least.  And you can forget about inputting passwords.  So....
How do I fix it?
</p>",desktop;fix-problems;windows-10;,firefox,fix-problems,en-US
1264526,1562968750,1563153554,firefox is crashing and its not even open,"<p>I'll leave my PC alone and out of no where the firefox has crashed box will have pop up. This time I had TWO open and I havn't even use firefox in over 8 hours so how is it crashing IF i don't have it open seem slike they have somthing running when it shouldn't
</p>",firefox-680;other;desktop;windows-7;escalate;bug_1;,firefox,other,en-US
1264525,1562968236,1563001694,I am too stupid to understand Firefox Sync - can I ask some dumb questions?,"<p>I keep getting messages to sign in or sync and when I follow the links it says open authenticator app and put in some code.
</p><p>I do not have an authenticator app on Windows 10 PC - what is this all about, please?
</p><p>I must have been using Mozilla products for about 15 years but they are getting slicker and I am getting dumber - should I pack up and go back to Internet Explorer or even use Microsoft EDGE?
</p>",firefox-680;desktop;tips;windows-10;,firefox,tips,en-US
1264524,1562966244,1563233586,I can’t access the privacy & security panel.,"<p>When I click the menu button, there is no “options “ window to access the privacy and security panel.
Thank you
</p>",privacy-and-security_1;desktop;ipad;download-and-install;,firefox,privacy-and-security,en-US
1264523,1562966023,1562984338,local html page for new tab and homepage not working,"<p>FF needs to release an update so I can update (for security) to it that allows me to load html lopcal pages in my tab and home page thats all! i dont care about any walkaround! no addons will be acceptable an update is required! i am using an old dev version just to use these 2 important features! i have to use chrome as that browser is more updated but chrome is also not allowing what i need! :/
</p>",firefox-560;other;desktop;windows-7;,firefox,other,en-US
1264522,1562963214,1563289667,How to resove: Firefox prevented this page from loading...,"<p>Blocked by Content Security Policy
</p><p>An error occurred during a connection to <a href=""http://www.scribd.com"" rel=""nofollow"">www.scribd.com</a>.
</p><p>""Firefox prevented this page from loading in this way because the page has a content security policy that disallows it.""
On IE, the message said it cannot be loaded in a FRAME.  It's a letter!
</p><p>I looked at and tried some instructions in Content Blocking.  No solutions are there.
Thank you.
</p>",firefox-680;desktop;privacy-and-security_1;windows-10;,firefox,privacy-and-security,en-US
1264521,1562963155,1563240053,"Olá, pessoal! Acabei de fazer a atualização do Firefox para a versão 68.0 e perdi absolutamente todos os meus favoritos e senhas salvas. Como posso resolver?","<p>Fiz os procedimentos citados aqui (<a href=""https://support.mozilla.org/pt-BR/kb/recupere-favoritos-perdidos-ou-ausentes#w_meus-favoritos-desapareceram"" rel=""nofollow"">https://support.mozilla.org/pt-BR/kb/recupere-favoritos-perdidos-ou-ausentes#w_meus-favoritos-desapareceram</a>) mas infelizmente, a única cópia gerada automaticamente é a de hoje, após eles desaparecerem.
</p><p>Tinha vários favoritos de muitos anos lá e não gostaria de perdê-los definitivamente =(
</p><p>Obrigada desde já!
</p>",bookmarks;desktop;firefox-680;windows-7;,firefox,bookmarks,pt-BR
